Key,English(en),Chinese (Simplified)(zh-Hans)
id_amber_earring_item,Amber Earring,琥珀耳环
id_amber_necklace_item,Amber Necklace,琥珀项链
id_amber_ring_item,Amber Ring,琥珀戒指
id_amethyst_earring_item,Amethyst Earring,紫水晶耳环
id_amethyst_necklace_item,Amethyst Necklace,紫水晶项链
id_amethyst_ring_item,Amethyst Ring,紫水晶戒指
id_diamond_earring_item,Diamond Earring,钻石耳环
id_diamond_necklace_item,Diamond Necklace,钻石项链
id_diamond_ring_item,Diamond Ring,钻石戒指
id_emerald_earring_item,Emerald Earring,绿宝石耳环
id_emerald_necklace_item,Emerald Necklace,绿宝石项链
id_emerald_ring_item,Emerald Ring,绿宝石戒指
id_onyx_earring_item,Onyx Earring,黑玛瑙耳环
id_onyx_necklace_item,Onyx Necklace,黑玛瑙项链
id_onyx_ring_item,Onyx Ring,黑玛瑙戒指
id_ruby_earring_item,Ruby Earring,红宝石耳环
id_ruby_necklace_item,Ruby Necklace,红宝石项链
id_ruby_ring_item,Ruby Ring,红宝石戒指
id_sapphire_earring_item,Sapphire Earring,蓝宝石耳环
id_sapphire_necklace_item,Sapphire Necklace,蓝宝石项链
id_sapphire_ring_item,Sapphire Ring,蓝宝石戒指
