Key,Id,Shared Comments,Chinese (Simplified)(zh-Hans),Chinese (Simplified)(zh-Hans) Comments,English(en),English(en) Comments,Japanese(ja),Japanese(ja) Comments
"id_amber_earring_item",23168417792,"","琥珀耳环","","Amber Earring","","琥珀耳环",""
"id_amber_necklace_item",23231332352,"","琥珀项链","","Amber Necklace","","琥珀项链",""
"id_amber_ring_item",23231332353,"","琥珀戒指","","Amber Ring","","琥珀戒指",""
"id_amethyst_earring_item",23231332354,"","紫水晶耳环","","Amethyst Earring","","紫水晶耳环",""
"id_amethyst_necklace_item",23231332355,"","紫水晶项链","","Amethyst Necklace","","紫水晶项链",""
"id_amethyst_ring_item",23231332356,"","紫水晶戒指","","Amethyst Ring","","紫水晶戒指",""
"id_diamond_earring_item",23231332357,"","钻石耳环","","Diamond Earring","","钻石耳环",""
"id_diamond_necklace_item",23231332358,"","钻石项链","","Diamond Necklace","","钻石项链",""
"id_diamond_ring_item",23231332359,"","钻石戒指","","Diamond Ring","","钻石戒指",""
"id_emerald_earring_item",23231332360,"","绿宝石耳环","","Emerald Earring","","绿宝石耳环",""
"id_emerald_necklace_item",23231332361,"","绿宝石项链","","Emerald Necklace","","绿宝石项链",""
"id_emerald_ring_item",23231332362,"","绿宝石戒指","","Emerald Ring","","绿宝石戒指",""
"id_onyx_earring_item",23231332363,"","黑玛瑙耳环","","Onyx Earring","","黑玛瑙耳环",""
"id_onyx_necklace_item",23231332364,"","黑玛瑙项链","","Onyx Necklace","","黑玛瑙项链",""
"id_onyx_ring_item",23231332365,"","黑玛瑙戒指","","Onyx Ring","","黑玛瑙戒指",""
"id_ruby_earring_item",23231332366,"","红宝石耳环","","Ruby Earring","","红宝石耳环",""
"id_ruby_necklace_item",23231332367,"","红宝石项链","","Ruby Necklace","","红宝石项链",""
"id_ruby_ring_item",23231332368,"","红宝石戒指","","Ruby Ring","","红宝石戒指",""
"id_sapphire_earring_item",23231332369,"","蓝宝石耳环","","Sapphire Earring","","蓝宝石耳环",""
"id_sapphire_necklace_item",23231332370,"","蓝宝石项链","","Sapphire Necklace","","蓝宝石项链",""
"id_sapphire_ring_item",23231332371,"","蓝宝石戒指","","Sapphire Ring","","蓝宝石戒指",""
