Overlay	Item Name	Health Potion
Overlay	Item Description	This potion seems amazing! What can it be doing? This description should answer all your questions!
Overlay	Speaker Text	Whom
Overlay	Text (TMP)	This is a test, is it working well? Lets see! That is very nice.
Overlay	Text (TMP)	Option 1
Overlay	Text (TMP)	Option 2
Overlay	Text (TMP)	Option 3
Overlay	Text (TMP)	Option 4
Overlay	Text (TMP)	Option 5
Main Menu	Text	{autogen}
Main Menu	Text	X
Main Menu	Text	{autogen}
Main Menu	Text	X
Main Menu	Text	{autogen}
Main Menu	Text	X
Main Menu	Text	Exit
Main Menu	Text 1	Press
Main Menu	Text 2	to select
Menus	Pause	Pause
Menus	Text (TMP)	Character
Menus	Text (TMP)	Items
Menus	Text (TMP)	Abilities
Menus	Text (TMP)	Journal
Menus	Text (TMP)	Craft
Menus	Text (TMP)	Save
Menus	Text (TMP)	Settings
Menus	Text (TMP)	Quit
Menus	Text	Select
Menus	Text	Close
Menus	Title	Character
Menus	Label	Information
Menus	Label	{name}
Menus	Value	???
Menus	Label	{name}
Menus	Now Soul	{name}
Menus	Update Soul	{name}
Menus	Value	???
Menus	Label	Attribute
Menus	Label	{name}:
Menus	Tmp Value	{name}:
Menus	Value	VA
Menus	Label	{name}:
Menus	Tmp Value	{name}:
Menus	Value	VA
Menus	Label	{name}:
Menus	Tmp Value	{name}:
Menus	Value	VA
Menus	Label	{name}:
Menus	Tmp Value	{name}:
Menus	Value	VA
Menus	Label	{name}:
Menus	Tmp Value	{name}:
Menus	Value	VA
Menus	Label	{name}:
Menus	Tmp Value	{name}:
Menus	Value	VA
Menus	Label	{name}:
Menus	Tmp Value	{name}:
Menus	Value	VA
Menus	Label	{name}:
Menus	Tmp Value	{name}:
Menus	Value	VA
Menus	Label	{name}
Menus	Value	???
Menus	Value	???
Menus	Text	Sure
Menus	Text	Select
Menus	Text	Back
Menus	Label	Equipment
Menus	Label	Inventory
Menus	Text	{auto}
Menus	Text	{auto}
Menus	Text	{auto}
Menus	Text	{auto}
Menus	Value	0000
Menus	Text	Select
Menus	Text	Back
Menus	Title	Warehouse
Menus	Text	{auto}
Menus	Text	{auto}
Menus	Text	{auto}
Menus	Text	{auto}
Menus	Value	0000
Menus	Value	0000
Menus	Label	Bag

Menus	Label	Warehouse

Menus	Text	Select
Menus	Text	Back
Menus	Title	Journal
Menus	Title	On-going Quests
Menus	Label	Quest
Menus	Title	Description
Menus	Label	Description
Menus	Description	Lorem ipsum dolor sit amet, consectetur adipiscing elit. Aenean tempus ullamcorper sollicitudin. In tempor, magna eget laoreet vestibulum, dolor ante fermentum nulla, vitae finibus nibh odio eget magna.
Menus	Current Tasks	Task 1
Task 2
Task 3
Menus	Completed Tasks	Task 4
Task 5
Task 6
Menus	Text	Select
Menus	Text	Back
Menus	Title	Shop
Menus	Label	Sell
Menus	Text	{auto}
Menus	Text	{auto}
Menus	Text	{auto}
Menus	Text	{auto}
Menus	Title	Buy
Menus	Label	Buy
Menus	Money Value	{value}  {value}
Menus	Value	{value}  {value}
Menus	Text	Select
Menus	Text	Exit
Menus	Title	Craft
Menus	Title	Recipes
Menus	Title	Ingredients
Menus	Select a recipe	Select a recipe
Menus	Money Value	{value}
{value}
Menus	Text	{auto}
Menus	Text	{auto}
Menus	Text	{auto}
Menus	Text	{auto}
Menus	Text	Select
Menus	Text	Exit
Menus	Title	Abilities
Menus	Title	Unlocked Abilities
Menus	Title	Description
Menus	Description	Bla bla bla
Menus	Text	Select
Menus	Text	Back
Menus	Title	Settings
Menus	Label	Settings
Menus	Label	Master Volume
Menus	Label	Background Music
Menus	Label	Background Sound
Menus	Label	Interface Sound
Menus	Label	Gameplay Sound
Menus	Text	Select
Menus	Text	Back
Menus	Title	Save
Menus	Text	{autogen}
Menus	Text	{autogen}
Menus	Text	{autogen}
Menus	Text	Select
Menus	Text	Back
Menus	Pause	SOUL DIMMING
Menus	Title	You died!
Menus	Text	Wake
Menus	Text	Forever Sleep
Menus	Text	Select
Menus	Text	Back
