Key,Id,Shared Comments,Chinese (Simplified)(zh-Hans),Chinese (Simplified)(zh-Hans) Comments,English(en),English(en) Comments,Japanese(ja),Japanese(ja) Comments
"id_behemoth_bloody_broken_bones_item",25982795776,"","巨兽血腥断骨","","Behemoth Bloody Broken Bones","","巨兽血腥断骨",""
"id_behemoth_brain_item",26045710336,"","巨兽之脑","","Behemoth Brain","","巨兽之脑",""
"id_behemoth_eye_item",26045710337,"","巨兽之眼","","Behemoth Eye","","巨兽之眼",""
"id_behemoth_gold_tooth_item",26045710338,"","巨兽金牙","","Behemoth Gold Tooth","","巨兽金牙",""
"id_behemoth_heart_item",26045710339,"","巨兽之心","","Behemoth Heart","","巨兽之心",""
"id_behemoth_huge_skull_item",26045710340,"","巨兽巨颅","","Behemoth Huge Skull","","巨兽巨颅",""
"id_behemoth_shining_pupil_item",26045710341,"","巨兽闪耀之瞳","","Behemoth Shining Pupil","","巨兽闪耀之瞳",""
"id_behemoth_turbid_dew_drop_item",26045710342,"","巨兽浑浊露珠","","Behemoth Turbid Dew Drop","","巨兽浑浊露珠",""
"id_broken_skeleton_bloody_leg_bones_item",26045710343,"","破碎血腿骨","","Broken Skeleton Bloody Leg Bones","","破碎血腿骨",""
"id_broken_skeleton_bloody_spine_item",26045710344,"","破碎血脊","","Broken Skeleton Bloody Spine","","破碎血脊",""
"id_broken_skeleton_breastbone_item",26045710345,"","破碎的胸骨","","Broken Skeleton Breastbone","","破碎的胸骨",""
"id_broken_skeleton_complete_skull_item",26045710346,"","完整的破碎骷髅头骨","","Broken Skeleton Complete Skull","","完整的破碎骷髅头骨",""
"id_broken_skeleton_deflated_skull_item",26045710347,"","破碎骷髅的瘪头骨","","Broken Skeleton Deflated Skull","","破碎骷髅的瘪头骨",""
"id_broken_skeleton_ditytooth_item",26045710348,"","破碎骷髅的污牙","","Broken Skeleton DityTooth","","破碎骷髅的污牙",""
"id_broken_skeleton_skull_item",26045710349,"","破碎骷髅的头骨","","Broken Skeleton Skull","","破碎骷髅的头骨",""
"id_chaos_wizard_charredheart_item",26045710350,"","混沌法师的焦心","","Chaos Wizard CharredHeart","","混沌法师的焦心",""
"id_chaos_wizard_charred_meat_item",26045710351,"","混沌法师的焦肉","","Chaos Wizard Charred Meat","","混沌法师的焦肉",""
"id_chaos_wizard_charred_organ_item",26045710352,"","混沌巫师的焦炭内脏","","Chaos Wizard Charred Organ","","混沌巫师的焦炭内脏",""
"id_chaos_wizard_charred_organwith_crystal_item",26045710353,"","混沌法师蕴含水晶的焦黑器官","","Chaos Wizard Charred OrganWith Crystal","","混沌法师蕴含水晶的焦黑器官",""
"id_chaos_wizard_clean_tooth_item",26045710354,"","混沌巫师的洁白牙齿","","Chaos Wizard Clean Tooth","","混沌巫师的洁白牙齿",""
"id_chaos_wizard_shining_pupil_item",26045710355,"","混沌法师的闪耀之瞳","","Chaos Wizard Shining Pupil","","混沌法师的闪耀之瞳",""
"id_deep_demon_slime_ball_item",26045710356,"","深渊恶魔的黏液球","","Deep Demon Slime Ball","","深渊恶魔的黏液球",""
"id_demon_slime_ball_item",26045710357,"","恶魔的黏液球","","Demon Slime Ball","","恶魔的黏液球",""
"id_rotten_demon_bloody_breastbone_item",26045710358,"","腐化恶魔的鲜血胸骨","","Rotten Demon Bloody Breastbone","","腐化恶魔的鲜血胸骨",""
"id_rotten_demon_bloody_leg_bones_item",26045710359,"","腐化恶魔的鲜血腿骨","","Rotten Demon Bloody Leg Bones","","腐化恶魔的鲜血腿骨",""
"id_rotten_demon_bloody_spine_item",26045710360,"","腐化恶魔的鲜血脊椎","","Rotten Demon Bloody Spine","","腐化恶魔的鲜血脊椎",""
"id_rotten_demon_complete_bloody_skull_item",26045710361,"","腐化恶魔的完整鲜血头骨","","Rotten Demon Complete Bloody Skull","","腐化恶魔的完整鲜血头骨",""
"id_rotten_demon_darken_tooth_item",26045710362,"","腐化恶魔的暗黑牙齿","","Rotten Demon Darken Tooth","","腐化恶魔的暗黑牙齿",""
"id_rotten_demon_deflated_bloody_skull_item",26045710363,"","腐化恶魔的血腥瘪头骨","","Rotten Demon Deflated Bloody Skull","","腐化恶魔的血腥瘪头骨",""
